titulo,capitulo
Renai Flops,12
Kage no Jitsuryokusha ni Naritakute!,13
Chainsaw Man,12
Bleach: Sennen Kessen-hen,13
Bleach: Sennen Kessen-hen,12
Peter Grill to Kenja no Jikan: Super Extra,12
IDOLiSH7: Third Beat!,26
"Fuufu Ijou, Koibito Miman.",12
Fumetsu no Anata e 2nd Season,10
Mobile Suit Gundam: The Witch from Mercury,11
Boruto: Naruto Next Generations,281
Digimon Ghost Game,57
4-nin wa Sorezore Uso wo Tsuku,11
Yowamushi Pedal: Limit Break,10
Blue Lock,12
Utawarerumono: Futari no Hakuoro,28
Berserk: Ougon Jidai-hen - Memorial Edition,13
Utawarerumono: Futari no Hakuoro,27
Bocchi the Rock!,12
Koukyuu no Karasu,13
